Month,Avg.Daily Volume,In person,E-Mail,Telephone Call,Webform,Requests,Orders,Pending eFile,Unprocessed Inbox,Target Inventory,Overall Result,Goal,Front Office Reachability,Reachability Goal,AVG Answer Speed (Seconds)
JAN,351,1499,1567,1801,841,461,904,47,21,1700,82%,90%,99.20%,90%,8.5
FEB,345,2008,2356,2503,949,485,951,79,201,1700,84%,90%,99.50%,90%,8.9
MAR,359,1710,2006,2245,965,489,984,12,10,1700,87%,90%,99.10%,90%,8.5
APR,331,1904,2134,2203,978,402,950,15,13,1700,85%,90%,98.90%,90%,8.4
MAY,335,1849,2019,2345,947,405,1104,350,22,1700,88%,90%,98.40%,90%,8.2
JUN,371,1734,2234,2198,730,369,1110,67,9,1700,88%,90%,98.50%,90%,8.5
JUL,350,1719,2765,1986,937,445,1006,11,5,1700,89%,90%,98.70%,90%,9.2
AUG,329,1645,2434,1767,930,457,1124,70,69,1700,90%,90%,98.90%,90%,8.1
SEP,297,1608,2309,1999,1074,441,979,19,35,1700,91%,90%,98.80%,90%,8.5
OCT,310,1511,2009,1576,1152,511,812,12,11,1700,93%,90%,98.50%,90%,10.1
NOV,322,1423,2309,2005,1483,544,1189,242,110,1700,95%,90%,97.90%,90%,8.5
DEC,341,1395,2249,1989,1330,503,1039,139,7,1700,97%,90%,97.10%,90%,9.2
